sequence,scheduledTimeSec,readStartTimeSec,sampleTimeSec,readDurationSec,startLatenessSec,deadlineMiss,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
5990,29.945,29.945,30.060106,0.001419,0,0,-0.3,-10.7,-3.1,1.03,0.19,-0.04
5991,29.95,29.95,30.06608,0.002393,0,0,-0.4,-10.7,-3.5,1.03,0.2,-0.04
5992,29.955,29.955001,30.071157,0.002469,9.99999997475243e-07,0,-0.3,-10.6,-3.3,1.03,0.19,-0.05
5993,29.96,29.96,30.075042,0.001354,0,0,-0.5,-10.8,-3.3,1.04,0.21,-0.04
5994,29.965,29.965,30.080112,0.001425,0,0,-0.5,-10.7,-3.2,1.04,0.21,-0.04
5995,29.97,29.97,30.0861,0.002414,0,0,-0.4,-10.7,-3.2,1.03,0.19,-0.04
5996,29.975,29.975,30.091121,0.002434,0,0,-0.3,-10.8,-3.5,1.03,0.19,-0.04
5997,29.98,29.98,30.095069,0.001382,0,0,-0.3,-10.8,-3.2,1.03,0.18,-0.04
5998,29.985,29.985,30.100365,0.001678,0,0,-0.3,-10.9,-3.5,1.03,0.19,-0.04
5999,29.99,29.990001,30.106146,0.002458,9.99999997475243e-07,0,-0.3,-10.9,-2.9,1.04,0.19,-0.04
6000,29.995,29.995,30.11005,0.001363,0,0,-0.5,-10.9,-4,1.02,0.2,-0.05
6001,30,30,30.115134,0.001447,0,0,-0.3,-10.8,-3.5,1.03,0.19,-0.04
6002,30.005,30.005,30.121303,0.002616,0,0,-0.3,-10.8,-3.5,1.03,0.18,-0.04
6003,30.01,30.01,30.126249,0.002561,0,0,-0.5,-10.8,-3.2,1.04,0.19,-0.04
6004,30.015,30.015,30.130081,0.001394,0,0,-0.5,-10.9,-2.9,1.04,0.18,-0.05
6005,30.02,30.02,30.135268,0.001582,0,0,-0.4,-10.9,-2.3,1.05,0.18,-0.04
6006,30.025,30.025001,30.141248,0.002559,9.99999997475243e-07,0,-0.4,-10.8,-2.1,1.05,0.18,-0.04
6007,30.03,30.03,30.145042,0.001355,0,0,-0.4,-10.8,-2.4,1.05,0.18,-0.04
6008,30.035,30.035,30.150168,0.001481,0,0,-0.4,-10.8,-2.9,1.04,0.19,-0.04
6009,30.04,30.04,30.156267,0.002579,0,0,-0.4,-10.8,-3,1.03,0.19,-0.04
6010,30.045,30.045,30.160066,0.00138,0,0,-0.4,-10.8,-3.3,1.03,0.18,-0.04
6011,30.05,30.05,30.165105,0.001418,0,0,-0.2,-10.7,-3.1,1.03,0.18,-0.04
6012,30.055,30.055,30.171205,0.002518,0,0,-0.1,-10.8,-3,1.03,0.17,-0.04
6013,30.06,30.060001,30.176119,0.00243,9.99999997475243e-07,0,-0.2,-10.8,-3.2,1.03,0.18,-0.04
6014,30.065,30.065,30.180012,0.001325,0,0,-0.1,-10.7,-2.4,1.04,0.16,-0.04
6015,30.07,30.07,30.186121,0.002434,0,0,-0.2,-10.7,-3.4,1.03,0.18,-0.04
6016,30.075,30.075,30.190088,0.001401,0,0,-0.2,-10.7,-2.9,1.03,0.17,-0.04
6017,30.08,30.080001,30.195125,0.001437,9.99999997475243e-07,0,-0.2,-10.7,-2.6,1.04,0.17,-0.03
6018,30.085,30.085,30.201123,0.002436,0,0,-0.3,-10.8,-3.1,1.03,0.18,-0.04
6019,30.09,30.09,30.20514,0.001454,0,0,-0.2,-10.7,-2.4,1.04,0.17,-0.04
6020,30.095,30.095,30.210075,0.001388,0,0,-0.2,-10.7,-2.6,1.04,0.18,-0.03
6021,30.1,30.1,30.216075,0.002388,0,0,-0.3,-10.8,-3,1.03,0.18,-0.04
6022,30.105,30.105,30.220072,0.001386,0,0,-0.4,-10.7,-3.1,1.03,0.19,-0.04
6023,30.11,30.11,30.22515,0.001462,0,0,-0.3,-10.8,-2.9,1.03,0.2,-0.04
6024,30.115,30.115001,30.231054,0.002366,9.99999997475243e-07,0,-0.4,-10.7,-2.7,1.03,0.19,-0.04
6025,30.12,30.12,30.236023,0.002336,0,0,-0.3,-10.8,-2.9,1.03,0.18,-0.04
6026,30.125,30.125001,30.240115,0.001427,1.00000000102796e-06,0,-0.3,-10.7,-2.7,1.03,0.18,-0.04
6027,30.13,30.13,30.246033,0.002345,0,0,-0.3,-10.7,-2.8,1.03,0.18,-0.04
6028,30.135,30.135,30.25122,0.002533,0,0,-0.4,-10.8,-2.6,1.03,0.18,-0.03
6029,30.14,30.14,30.255111,0.001423,0,0,-0.3,-10.9,-2.2,1.04,0.18,-0.03
6030,30.145,30.145,30.260148,0.001462,0,0,-0.2,-10.8,-2.7,1.04,0.18,-0.03
6031,30.15,30.150001,30.266116,0.002428,9.99999997475243e-07,0,-0.2,-10.8,-2.7,1.04,0.18,-0.03
6032,30.155,30.155,30.270069,0.001382,0,0,-0.3,-10.8,-1.8,1.05,0.17,-0.03
6033,30.16,30.16,30.275115,0.001428,0,0,-0.4,-10.8,-2.1,1.04,0.18,-0.03
6034,30.165,30.165,30.281091,0.002404,0,0,-0.3,-10.8,-2,1.04,0.18,-0.03
6035,30.17,30.17,30.286086,0.002399,0,0,-0.3,-10.8,-2.4,1.03,0.18,-0.04
6036,30.175,30.175002,30.290838,0.00215,1.9999999985032e-06,0,-0.3,-10.7,-2.5,1.04,0.18,-0.04
6037,30.18,30.180002,30.295662,0.001973,2.00000000205591e-06,0,-0.3,-10.8,-2.3,1.04,0.18,-0.04
6038,30.185,30.185002,30.301404,0.002714,1.9999999985032e-06,0,-0.3,-10.8,-2.3,1.04,0.18,-0.04
6039,30.19,30.19,30.305107,0.00142,0,0,-0.3,-10.7,-2.8,1.04,0.18,-0.04
6040,30.195,30.195,30.31053,0.001843,0,0,-0.3,-10.7,-2.9,1.04,0.17,-0.04
6041,30.2,30.2,30.316436,0.002749,0,0,-0.2,-10.7,-2.4,1.04,0.17,-0.04
6042,30.205,30.205001,30.320107,0.001418,9.99999997475243e-07,0,-0.2,-10.7,-3,1.03,0.18,-0.04
6043,30.21,30.21,30.325497,0.001809,0,0,-0.1,-10.7,-3.1,1.03,0.18,-0.04
6044,30.215,30.215,30.331104,0.002417,0,0,-0.2,-10.8,-2.6,1.04,0.18,-0.04
6045,30.22,30.22,30.335177,0.001491,0,0,-0.2,-10.8,-2.8,1.03,0.18,-0.04
6046,30.225,30.225002,30.340686,0.001999,1.9999999985032e-06,0,-0.1,-10.8,-2.9,1.03,0.17,-0.04
6047,30.23,30.230002,30.346377,0.002689,1.9999999985032e-06,0,-0.1,-10.7,-2.6,1.04,0.17,-0.04
6048,30.235,30.235001,30.350268,0.001581,1.00000000102796e-06,0,-0.2,-10.7,-3,1.03,0.18,-0.04
6049,30.24,30.240002,30.355605,0.001917,1.9999999985032e-06,0,-0.2,-10.7,-2.6,1.03,0.17,-0.04
6050,30.245,30.245003,30.36114,0.00245,2.99999999953116e-06,0,-0.2,-10.7,-3.1,1.02,0.18,-0.04
6051,30.25,30.25,30.365278,0.001591,0,0,-0.2,-10.6,-3.4,1.02,0.19,-0.04
6052,30.255,30.255,30.371185,0.002498,0,0,-0.3,-10.6,-2.8,1.03,0.18,-0.04
6053,30.26,30.26,30.37614,0.002453,0,0,-0.3,-10.6,-2.1,1.04,0.19,-0.03
6054,30.265,30.265,30.380073,0.001386,0,0,-0.3,-10.7,-2.4,1.04,0.18,-0.04
6055,30.27,30.27,30.385211,0.001524,0,0,-0.2,-10.6,-2.5,1.04,0.18,-0.04
6056,30.275,30.275001,30.391091,0.002403,9.99999997475243e-07,0,-0.3,-10.7,-2.8,1.03,0.18,-0.04
6057,30.28,30.280001,30.396231,0.002542,9.99999997475243e-07,0,-0.4,-10.7,-3.3,1.03,0.19,-0.05
6058,30.285,30.285,30.400085,0.001399,0,0,-0.3,-10.6,-3.4,1.03,0.19,-0.04
6059,30.29,30.29,30.40614,0.002453,0,0,-0.3,-10.7,-3.9,1.02,0.19,-0.05
6060,30.295,30.295,30.411129,0.002442,0,0,-0.2,-10.7,-3.1,1.03,0.19,-0.04
6061,30.3,30.3,30.415041,0.001354,0,0,-0.2,-10.7,-2.7,1.03,0.18,-0.04
6062,30.305,30.305,30.421115,0.002427,0,0,-0.2,-10.7,-3.3,1.03,0.19,-0.04
6063,30.31,30.310001,30.426138,0.00245,9.99999997475243e-07,0,-0.3,-10.7,-3.2,1.03,0.19,-0.04
6064,30.315,30.315,30.430096,0.001409,0,0,-0.2,-10.8,-2.6,1.03,0.18,-0.04
6065,30.32,30.32,30.435479,0.001791,0,0,0,-10.7,-2.3,1.04,0.16,-0.04
6066,30.325,30.325,30.441126,0.002439,0,0,-0.2,-10.8,-2,1.04,0.16,-0.04
6067,30.33,30.330001,30.445041,0.001353,9.99999997475243e-07,0,-0.2,-10.8,-1.6,1.05,0.17,-0.03
6068,30.335,30.335,30.450173,0.001486,0,0,-0.3,-10.8,-1.5,1.05,0.17,-0.03
6069,30.34,30.34,30.45615,0.002463,0,0,-0.4,-10.9,-2.5,1.03,0.19,-0.04
6070,30.345,30.345,30.460069,0.001382,0,0,-0.4,-10.9,-2.6,1.04,0.19,-0.04
6071,30.35,30.35,30.465093,0.001406,0,0,-0.3,-10.9,-1.8,1.05,0.17,-0.03
6072,30.355,30.355,30.471235,0.002549,0,0,-0.3,-10.7,-1.7,1.05,0.17,-0.03
6073,30.36,30.36,30.475052,0.001366,0,0,-0.3,-10.8,-2.4,1.04,0.18,-0.03
6074,30.365,30.365001,30.480069,0.001381,9.99999997475243e-07,0,-0.3,-10.7,-3.3,1.03,0.19,-0.04
6075,30.37,30.37,30.486188,0.002501,0,0,-0.3,-10.7,-2.5,1.04,0.18,-0.03
6076,30.375,30.375,30.491198,0.00251,0,0,-0.3,-10.8,-2.4,1.03,0.18,-0.03
6077,30.38,30.38,30.495033,0.001346,0,0,-0.4,-10.9,-2,1.04,0.18,-0.03
6078,30.385,30.385,30.500265,0.001578,0,0,-0.3,-10.8,-3.1,1.03,0.19,-0.04
6079,30.39,30.39,30.506193,0.002505,0,0,-0.2,-10.8,-2.8,1.04,0.18,-0.04
6080,30.395,30.395,30.510054,0.001367,0,0,-0.1,-10.7,-2.4,1.03,0.17,-0.04
6081,30.4,30.400002,30.51512,0.001431,1.9999999985032e-06,0,-0.1,-10.7,-2,1.04,0.16,-0.03
6082,30.405,30.405,30.520745,0.002059,0,0,-0.3,-10.8,-2.6,1.04,0.18,-0.04
6083,30.41,30.410002,30.52661,0.002923,1.9999999985032e-06,0,-0.4,-10.8,-2.7,1.04,0.19,-0.04
6084,30.415,30.415001,30.530449,0.001762,1.00000000102796e-06,0,-0.3,-10.8,-2.6,1.04,0.18,-0.04
6085,30.42,30.420001,30.535665,0.001977,9.99999997475243e-07,0,-0.2,-10.8,-2.9,1.03,0.18,-0.04
6086,30.425,30.425001,30.541544,0.002858,1.00000000102796e-06,0,-0.2,-10.8,-2.7,1.03,0.18,-0.04
6087,30.43,30.430001,30.545432,0.001745,1.00000000102796e-06,0,-0.2,-10.8,-2.6,1.03,0.18,-0.04
6088,30.435,30.435001,30.55026,0.001571,9.99999997475243e-07,0,-0.3,-10.8,-2.7,1.03,0.19,-0.04
6089,30.44,30.44,30.556156,0.002469,0,0,-0.4,-10.8,-2.8,1.03,0.19,-0.04
6090,30.445,30.445,30.560064,0.001377,0,0,-0.3,-10.9,-3.1,1.04,0.19,-0.04
6091,30.45,30.45,30.565196,0.001509,0,0,-0.2,-10.9,-2.8,1.04,0.18,-0.04
6092,30.455,30.455001,30.571245,0.002557,9.99999997475243e-07,0,-0.2,-10.8,-3,1.04,0.18,-0.04
6093,30.46,30.46,30.57506,0.001373,0,0,-0.2,-10.9,-2.7,1.04,0.18,-0.04
6094,30.465,30.465,30.580054,0.001366,0,0,-0.1,-10.8,-2.8,1.03,0.18,-0.03
6095,30.47,30.47,30.586102,0.002415,0,0,-0.1,-10.8,-3.3,1.02,0.19,-0.04
6096,30.475,30.475,30.591664,0.002976,0,0,-0.3,-10.8,-3.1,1.03,0.19,-0.04
6097,30.48,30.480002,30.595509,0.001822,1.9999999985032e-06,0,-0.4,-10.8,-2.8,1.04,0.19,-0.04
6098,30.485,30.485002,30.600822,0.002136,2.00000000205591e-06,0,-0.2,-10.8,-2.4,1.04,0.17,-0.03
6099,30.49,30.490003,30.60638,0.002689,2.99999999953116e-06,0,-0.3,-10.9,-2.6,1.03,0.18,-0.04
6100,30.495,30.495,30.610119,0.001431,0,0,-0.3,-10.7,-3,1.03,0.19,-0.04
6101,30.5,30.5,30.61621,0.002523,0,0,-0.2,-10.7,-2.8,1.04,0.18,-0.04
6102,30.505,30.505,30.621126,0.002439,0,0,-0.1,-10.7,-2.9,1.03,0.18,-0.04
6103,30.51,30.51,30.625102,0.001414,0,0,-0.3,-10.8,-3.1,1.03,0.19,-0.04
6104,30.515,30.515,30.630147,0.00146,0,0,-0.3,-10.7,-2.4,1.04,0.18,-0.04
6105,30.52,30.52,30.636147,0.002461,0,0,-0.3,-10.8,-2.6,1.04,0.18,-0.04
6106,30.525,30.525001,30.640368,0.00168,9.99999997475243e-07,0,-0.4,-10.9,-3,1.04,0.2,-0.04
6107,30.53,30.53,30.646069,0.002382,0,0,-0.4,-10.8,-3.2,1.04,0.2,-0.04
6108,30.535,30.535,30.650042,0.001355,0,0,-0.3,-10.7,-3.1,1.03,0.19,-0.04
6109,30.54,30.54,30.656109,0.002423,0,0,-0.2,-10.8,-2.7,1.03,0.19,-0.04
6110,30.545,30.545,30.661087,0.0024,0,0,-0.2,-10.8,-2.8,1.04,0.18,-0.04
6111,30.55,30.55,30.66505,0.001363,0,0,-0.3,-10.8,-3.1,1.04,0.18,-0.04
6112,30.555,30.555,30.67025,0.001563,0,0,-0.2,-10.9,-2.9,1.04,0.18,-0.04
6113,30.56,30.560001,30.676073,0.002385,9.99999997475243e-07,0,-0.2,-10.8,-3.3,1.03,0.18,-0.04
6114,30.565,30.565,30.680011,0.001324,0,0,-0.4,-10.8,-3.3,1.04,0.19,-0.04
6115,30.57,30.57,30.686162,0.002476,0,0,-0.2,-10.7,-3.2,1.04,0.18,-0.05
6116,30.575,30.575,30.691094,0.002406,0,0,-0.4,-10.8,-2.4,1.04,0.18,-0.04
6117,30.58,30.580001,30.695031,0.001343,9.99999997475243e-07,0,-0.5,-10.7,-2.9,1.04,0.18,-0.04
6118,30.585,30.585,30.700055,0.001368,0,0,-0.4,-10.7,-2.5,1.04,0.17,-0.04
6119,30.59,30.59,30.706058,0.002371,0,0,-0.3,-10.6,-2.5,1.04,0.17,-0.04
6120,30.595,30.595,30.711027,0.00234,0,0,-0.2,-10.7,-2.5,1.04,0.17,-0.04
6121,30.6,30.6,30.71502,0.001333,0,0,-0.3,-10.7,-2.6,1.04,0.17,-0.04
6122,30.605,30.605,30.721039,0.002352,0,0,-0.2,-10.7,-3.1,1.04,0.18,-0.04
6123,30.61,30.61,30.72606,0.002372,0,0,-0.2,-10.8,-3.1,1.04,0.18,-0.04
6124,30.615,30.615001,30.730017,0.001329,9.99999997475243e-07,0,-0.2,-10.6,-3.3,1.03,0.18,-0.04
6125,30.62,30.620001,30.736152,0.002464,9.99999997475243e-07,0,-0.1,-10.6,-3.2,1.03,0.17,-0.04
6126,30.625,30.625001,30.74114,0.002452,1.00000000102796e-06,0,-0.2,-10.7,-2.9,1.04,0.18,-0.04
6127,30.63,30.63,30.745007,0.00132,0,0,-0.2,-10.7,-3,1.04,0.18,-0.04
6128,30.635,30.635,30.751085,0.002398,0,0,-0.1,-10.8,-3.2,1.03,0.18,-0.04
6129,30.64,30.64,30.756053,0.002367,0,0,-0.2,-10.8,-3.3,1.03,0.19,-0.04
6130,30.645,30.645,30.760048,0.001361,0,0,-0.3,-10.7,-3.5,1.03,0.18,-0.04
6131,30.65,30.650001,30.765369,0.001681,9.99999997475243e-07,0,-0.3,-10.9,-3.4,1.03,0.19,-0.04
6132,30.655,30.655,30.771124,0.002437,0,0,-0.3,-10.7,-3.3,1.03,0.18,-0.04
6133,30.66,30.66,30.775023,0.001336,0,0,-0.3,-10.7,-3.4,1.04,0.19,-0.05
6134,30.665,30.665,30.780235,0.001548,0,0,-0.1,-10.8,-3.7,1.03,0.19,-0.05
6135,30.67,30.67,30.786234,0.002548,0,0,-0.2,-10.9,-2.8,1.04,0.18,-0.04
6136,30.675,30.675001,30.790142,0.001454,1.00000000102796e-06,0,-0.3,-10.9,-2.8,1.03,0.19,-0.04
6137,30.68,30.68,30.795115,0.001428,0,0,-0.3,-10.8,-2.6,1.04,0.18,-0.04
6138,30.685,30.685001,30.80111,0.002423,9.99999997475243e-07,0,-0.4,-10.8,-3.2,1.03,0.19,-0.04
6139,30.69,30.69,30.805049,0.001362,0,0,-0.3,-10.7,-3,1.03,0.19,-0.04
6140,30.695,30.695,30.810086,0.001399,0,0,-0.3,-10.7,-3.2,1.03,0.19,-0.04
6141,30.7,30.7,30.816197,0.002509,0,0,-0.3,-10.7,-3,1.04,0.18,-0.04
6142,30.705,30.705001,30.82116,0.002473,9.99999997475243e-07,0,-0.2,-10.8,-3,1.03,0.18,-0.03
6143,30.71,30.71,30.82519,0.001502,0,0,-0.2,-10.8,-2.9,1.04,0.18,-0.03
6144,30.715,30.715,30.831072,0.002386,0,0,-0.2,-10.8,-2.3,1.04,0.18,-0.03
