sequence,scheduledTimeSec,readStartTimeSec,sampleTimeSec,readDurationSec,startLatenessSec,deadlineMiss,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
2743,13.71,13.71,13.80965,0.001287,0,0,-0.3,-10.6,-2.8,1.04,0.19,-0.04
2744,13.715,13.715,13.815714,0.002352,0,0,-0.2,-10.6,-2.4,1.04,0.18,-0.04
2745,13.72,13.72,13.819753,0.001393,0,0,-0.3,-10.6,-2.2,1.04,0.18,-0.03
2746,13.725,13.725,13.824803,0.001442,0,0,-0.2,-10.7,-2.1,1.04,0.18,-0.03
2747,13.73,13.73,13.830779,0.002418,0,0,-0.2,-10.7,-2.5,1.04,0.18,-0.03
2748,13.735,13.735,13.834678,0.001317,0,0,-0.2,-10.6,-2.2,1.05,0.18,-0.03
2749,13.74,13.74,13.839885,0.001525,0,0,-0.4,-10.6,-2.9,1.04,0.19,-0.04
2750,13.745,13.745001,13.845708,0.002346,9.999999992516e-07,0,-0.4,-10.7,-2.4,1.05,0.18,-0.03
2751,13.75,13.75,13.849669,0.001307,0,0,-0.3,-10.8,-2,1.05,0.18,-0.03
2752,13.755,13.755,13.855692,0.002331,0,0,-0.3,-10.7,-2.6,1.04,0.19,-0.03
2753,13.76,13.76,13.86068,0.002319,0,0,-0.2,-10.8,-2.4,1.05,0.18,-0.03
2754,13.765,13.765,13.864661,0.0013,0,0,-0.2,-10.7,-2.2,1.05,0.18,-0.03
2755,13.77,13.77,13.869806,0.001444,0,0,-0.2,-10.8,-2.1,1.05,0.17,-0.03
2756,13.775,13.775001,13.875771,0.002409,9.999999992516e-07,0,-0.3,-10.8,-2.4,1.04,0.18,-0.03
2757,13.78,13.780001,13.880712,0.00235,9.999999992516e-07,0,-0.3,-10.7,-3,1.04,0.19,-0.04
2758,13.785,13.785,13.88469,0.001328,0,0,-0.4,-10.8,-3.2,1.05,0.2,-0.04
2759,13.79,13.790001,13.889854,0.00149,9.999999992516e-07,0,-0.5,-10.8,-3.3,1.04,0.2,-0.04
2760,13.795,13.795,13.895731,0.002369,0,0,-0.4,-10.7,-2.7,1.04,0.19,-0.04
2761,13.8,13.8,13.899686,0.001324,0,0,-0.4,-10.6,-2.8,1.04,0.19,-0.04
2762,13.805,13.805,13.904735,0.001373,0,0,-0.5,-10.7,-2.3,1.05,0.18,-0.04
2763,13.81,13.81,13.91075,0.002388,0,0,-0.4,-10.7,-2.4,1.04,0.18,-0.03
2764,13.815,13.815,13.915714,0.002353,0,0,-0.4,-10.8,-2.4,1.05,0.19,-0.04
2765,13.82,13.82,13.919692,0.001331,0,0,-0.5,-10.8,-3.1,1.05,0.2,-0.04
2766,13.825,13.825003,13.925365,0.002001,2.99999999953116e-06,0,-0.5,-10.7,-3.2,1.04,0.2,-0.04
2767,13.83,13.830002,13.930145,0.001782,2.00000000027956e-06,0,-0.4,-10.7,-2.9,1.04,0.2,-0.04
2768,13.835,13.835001,13.936018,0.002655,9.999999992516e-07,0,-0.4,-10.7,-2.6,1.05,0.19,-0.04
2769,13.84,13.840001,13.939828,0.001467,1.00000000102796e-06,0,-0.4,-10.7,-2.5,1.05,0.19,-0.04
2770,13.845,13.845,13.945171,0.00181,0,0,-0.4,-10.7,-2.8,1.05,0.19,-0.04
2771,13.85,13.85,13.951052,0.002691,0,0,-0.4,-10.8,-2.8,1.04,0.2,-0.04
2772,13.855,13.855001,13.954861,0.001499,9.999999992516e-07,0,-0.3,-10.8,-2.4,1.04,0.19,-0.04
2773,13.86,13.860001,13.959862,0.001501,1.00000000102796e-06,0,-0.2,-10.7,-2,1.05,0.18,-0.03
2774,13.865,13.865001,13.965711,0.002349,9.999999992516e-07,0,-0.2,-10.7,-2.2,1.04,0.19,-0.04
